Document 1,Document 2,Similarity
352.txt,416.txt,0.812
352.txt,419.txt,0.836
352.txt,475.txt,0.82
352.txt,477.txt,0.797
354.txt,361.txt,0.781
354.txt,375.txt,0.805
354.txt,385.txt,0.805
354.txt,413.txt,0.734
354.txt,416.txt,0.781
354.txt,419.txt,0.828
354.txt,475.txt,0.781
354.txt,477.txt,0.781
361.txt,375.txt,0.82
361.txt,385.txt,0.836
361.txt,413.txt,0.766
361.txt,416.txt,0.805
361.txt,419.txt,0.82
361.txt,475.txt,0.797
361.txt,477.txt,0.781
375.txt,385.txt,0.836
375.txt,413.txt,0.789
375.txt,416.txt,0.828
375.txt,419.txt,0.852
375.txt,475.txt,0.789
375.txt,477.txt,0.797
385.txt,413.txt,0.812
385.txt,416.txt,0.844
385.txt,419.txt,0.867
385.txt,475.txt,0.844
385.txt,477.txt,0.844
412.txt,80.txt,0.547
413.txt,416.txt,0.797
413.txt,419.txt,0.805
413.txt,475.txt,0.758
413.txt,477.txt,0.781
416.txt,419.txt,0.828
416.txt,475.txt,0.812
416.txt,477.txt,0.805
419.txt,475.txt,0.828
419.txt,477.txt,0.828
475.txt,477.txt,0.805
53.txt,54.txt,0.562
53.txt,80.txt,0.672
54.txt,80.txt,0.547
58.txt,59.txt,1.0
89.txt,92.txt,0.508
