doc_id,image_url
75,https://i1-dulich.vnecdn.net/2022/05/12/HaiNhuan11606299130-1652359419-5468-1652359452.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=_N34MNnzWE_dbn64sBwK0Q
76,https://i1-dulich.vnecdn.net/2022/04/26/canhdonghoahuongduongnghean02-4301-3374-1650971138.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=K3PErZZOZmiYARFvcneDuw
77,https://i1-dulich.vnecdn.net/2022/05/04/muidinhjpeg63801651130003-1651-5984-2620-1651653739.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=LwX1J8E5c9Jta0tZhTK5jA
78,https://i1-dulich.vnecdn.net/2022/05/25/hangma-1594209910-2460-1594209-8183-9113-1653446967.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=rs3q_pG8Smozn9t00s56gQ
79,https://i1-dulich.vnecdn.net/2020/07/08/shutterstock280926449-15942068-8351-5868-1594206899.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=f40vQnnT9C4uSjfDsuePzA
80,https://s1.vnecdn.net/vnexpress/restruct/i/v9756/logo_default.jpg
81,https://i1-dulich.vnecdn.net/2023/08/11/ho-guom2-1691720338-9273-1691720402.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=zCv2PBVWCn31OOZfKg6-9g
82,https://i1-dulich.vnecdn.net/2023/07/22/z4536731108666f197aee76640bb10-6528-3572-1690002282.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=3f9-zLCsEH3_dY9PtLhMeQ
83,https://i1-dulich.vnecdn.net/2023/03/28/cngvinbinidngnhagio-1679977392-3582-7766-1679977424.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=WWAK2ydhwPWHSGBcuuheIw
84,https://i1-dulich.vnecdn.net/2022/05/22/baixep-1653111081-6152-1653188300.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=1hX-vzLuUNYMVzIXHbPLcg
85,https://i1-dulich.vnecdn.net/2022/05/11/125212393266247853066827679435-9646-1684-1652263484.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=cvfsZzqwQMK2PpZoEVDdpA
86,https://i1-dulich.vnecdn.net/2020/08/27/118087150120370855332400510937-4173-6267-1598541863.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=lGS0m_gFDCrHuoucsVR8Lg
87,https://i1-dulich.vnecdn.net/2020/05/31/shutterstock1740575423-1590903-4752-5847-1590903614.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=pFezlP3oBczQA1uYrK0vcQ
88,https://i1-dulich.vnecdn.net/2022/04/14/daoPhuQuy-1649935243-7676-1649935874.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=cz0Dazt64C9tKprGwRwE4Q
89,https://i1-dulich.vnecdn.net/2024/07/24/thanhco-1721815835-1721815861-3064-1721815884.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=PJrhW20QWyTfk064xpNYYg
90,https://i1-dulich.vnecdn.net/2024/03/29/methu-1711711404-1711711424-3959-1711711482.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=vWXgLxu4STelTgcux-5eqg
91,https://i1-dulich.vnecdn.net/2023/07/27/concathinhtraitim-1690444066-1-9325-8159-1690444218.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=stWJNwY2ref5wXyx6TaJPg
92,https://i1-dulich.vnecdn.net/2023/06/15/nhatlebeachheader-1686815955-1-5584-6441-1686816602.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=prRs7lSWBhR3_tILmaAZCQ
93,https://i1-dulich.vnecdn.net/2022/06/23/baibienbachaucoto1-1655984021-1971-1655990392.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=mUlLnKp2LtWus8amQ1FXOQ
94,https://i1-dulich.vnecdn.net/2022/06/22/QuanLan-1655893762-5040-1655893785.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=lVtuRKDP4vz0BL9nP-cd2g
95,https://i1-dulich.vnecdn.net/2020/06/23/eogiokyco-1592903362-159290340-4097-2018-1592910739.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=h3iqhfSAKsRDWjhOzBZuHw
96,https://i1-dulich.vnecdn.net/2024/09/20/chni-1726821571-1726821584-8695-1726823450.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=2FMcBFdGTTmff6PR9cipwA
97,https://i1-dulich.vnecdn.net/2024/03/13/hothuydiensonla-1710316721-171-2186-9391-1710317356.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=IIUjYSy9UJRLZ1mR8jbTWA
98,https://i1-dulich.vnecdn.net/2022/06/13/samsonjpeg82121654254660-16551-2795-4515-1655137658.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=v7qd9Tp4jkTFgVZAk90oCQ
99,https://i1-dulich.vnecdn.net/2022/03/30/hochomnuisocson-1648626502-164-7138-7149-1648627125.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=TFFDckLVEKCDA-yN7AI5pw
100,https://i1-dulich.vnecdn.net/2020/06/01/a7cdd21b95f56fab36e4-159098590-8906-4053-1591002416.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Gykz8pWEUYAoDzlGVgffvQ
101,https://i1-dulich.vnecdn.net/2024/11/30/4564331e48788d26d4694166132849-3849-5006-1732948785.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=IXXA3gZBYVDH4HRbiWywyQ
102,https://i1-dulich.vnecdn.net/2024/10/05/4e8321049dcf44d3b330be44c67ac0-7812-3711-1728131315.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=fXwTiuIS6AV8FZc925vcfg
103,https://i1-dulich.vnecdn.net/2024/09/28/dji0061hdr1-1727504715-6451-17-9814-4800-1727508628.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=_xMolj6ekZS-8CmmlfuzeA
104,https://i1-dulich.vnecdn.net/2023/12/28/nahang4-1703754248-1703754258-3629-1703758253.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=s2XbmocQKHKJ10fyFgRQrQ
105,https://i1-dulich.vnecdn.net/2023/10/18/tra3-1697641037-1697641049-7912-1697642960.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=kQ9yGuhwe2FKhV4wMw9trQ
106,https://i1-dulich.vnecdn.net/2023/09/26/hoanghon4-1695703049-169570305-5040-4924-1695714765.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=_-z6QQnfDCbsduncFFcOyw
107,https://i1-dulich.vnecdn.net/2023/08/31/ttt-1693470055-1693470091-4434-1693470466.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=eP_cpxlfNKMWZMkr0bVm1g
108,https://i1-dulich.vnecdn.net/2023/06/28/dulichthainguyenvnexpress51562-2394-9552-1687947768.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Hp1pTGVfnJDGCalDIIfFgg
109,https://i1-dulich.vnecdn.net/2023/05/25/buudien-1685001952-1685001972-9962-1685002176.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=yxs27WqP-CBJni_FQDIwEg
110,https://i1-dulich.vnecdn.net/2023/05/23/thanhhoa-1684804816-6173-1684804874.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=jw5aWDrrZbAjoTiuIx-Bvw
111,https://i1-dulich.vnecdn.net/2022/06/06/dulichtule-1654488738-16544887-3260-8996-1654506743.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=u3pI2CHMuUyNmIUabV8Jsw
112,https://i1-dulich.vnecdn.net/2022/05/25/51558593482-1653444941-1976-1653445298.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=rU1Yy3syk8ms33ZlZ-a3Gw
113,https://i1-dulich.vnecdn.net/2022/04/25/277493141121575800250237511375-2453-2917-1650874778.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=pqr0I45K6puGqezFyoKfLg
