document,total_words,unique_words,top_words
294.txt,1181,465,"kim_bôi, khu, du_lịch, suối_khoáng, nóng, trải, nghiệm, ảnh, giúp, nghỉ_dưỡng"
295.txt,1312,495,"nóng, suối, du_lịch, kim_bôi, khu, đi, tắm, kim_bôi_hòa_bình, du_khách, dịch_vụ"
297.txt,2888,1071,"địa_đạo, chùa, thành_phố, kdt, củ_chi, di_tích, khu, đền, công_viên, nhà_thờ"
298.txt,1425,601,"địa_đạo, củ_chi, thành_phố, hồ_chí_minh, đi, vé, hồ_chí, minh, tour, tham_quan"
299.txt,1446,646,"kdt, chùa, di_tích, klong, đền, garai, po, đình, tháp, vua"
3.txt,1305,625,"biển, mũi, bình_thuận, né, du_lịch, đảo, du_khách, phú_quý, cá, đồng"
30.txt,1754,825,"du_lịch, đồng_nai, du_khách, khu, đồng, vườn, rừng, tp, hồ, cát_tiên"
300.txt,845,447,"tháp_po, klong, garai, ninh_thuận, đẹp, tháp, chăm, lễ_hội, chăm_pa, độc_đáo"
301.txt,3930,1469,"chùa, bổ, đà, kinh, di_tích, việt_nam, phật, kdt, đền, truy_cập"
302.txt,818,449,"chùa, bổ, tỉnh, bắc_giang, a, công, trực_tuyến, đà, đá, dịch_vụ"
303.txt,1758,590,"mặc_định, chùa, vĩnh_nghiêm, mộc_bản, bổ, thế_kỷ, thế_giới, văn_hóa, di_sản, sống"
304.txt,651,319,"hội, quán, phúc, hội_an, kiến, cổng, mia, larita, cổ, vị"
306.txt,1489,948,"du_lịch, the, tripmap, đá, and, hà_giang, cổ, đồng_văn, of, tiếng"
307.txt,662,380,"làng, đá, đẹp, cổ, hà_giang, cổ_kính, tường, du_lịch, lô, cao_nguyên"
308.txt,1570,715,"ruộng, kdt, bậc_thang, chùa, mù_cang_chải, di_tích, đình, đền, mùa, danh_thắng"
309.txt,458,247,"ruộng, mùa, thống_kê, bậc_thang, mù_cang_chải, đẹp, văn_bản, thủ_tục, cơ_sở, tổ_chức"
31.txt,1962,845,"điện_biên, điện_biên_phủ, du_khách, đồi, hầm, đồng, a1, chiến_thắng, đi, món"
312.txt,1097,433,"yên_tử, quần_thể, di_tích, danh_thắng, di_sản, thế_giới, côn_sơn, khu_di_tích, vĩnh_nghiêm, kiếp_bạc"
